,journal_title,article_title,contributors,year,doi
166,Journal of Advances in Modeling Earth Systems,Journal of Advances in Modeling Earth Systems,"['Yujun He', 'Bin Wang', 'Li Liu', 'Wenyu Huang', 'Shiming Xu', 'Juanjuan Liu', 'Yong Wang', 'Lijuan Li', 'Xiaomeng Huang', 'Yiran Peng', 'Yanluan Lin', 'Yongqiang Yu']",2020,10.1029/2019MS001768
167,Journal of Geophysical Research: Atmospheres,Journal of Geophysical Research: Atmospheres,"['C. Delgado‐Torres', 'D. Verfaillie', 'E. Mohino', 'M. G. Donat']",2022,10.1029/2022JD036673
168,Global and Planetary Change,Global and Planetary Change,['Benjamin J. Henley'],2017,10.1016/j.gloplacha.2017.06.004
169,Geophysical Research Letters,Geophysical Research Letters,"['S. Moulds', 'L. J. Slater', 'N. J. Dunstone', 'D. M. Smith']",2023,10.1029/2022GL100650
170,Advances in Atmospheric Sciences,Advances in Atmospheric Sciences,"['Xuan Ma', 'Lei Wang']",2023,10.1007/s00376-022-2047-9
171,Sustainability,Sustainability,"['Yinglian Qi', 'Xiaoyan Pu', 'Yaxiong Li', 'Dingai Li', 'Mingrui Huang', 'Xuan Zheng', 'Jiaxin Guo', 'Zhi Chen']",2022,10.3390/su141912114
172,Journal of Meteorological Research,Journal of Meteorological Research,"['Dabang Jiang', 'Dong Si', 'Xianmei Lang']",2020,10.1007/s13351-020-9151-5
173,Journal of Climate,Journal of Climate,"['H. M. Christensen', 'J. Berner', 'S. Yeager']",2020,10.1175/JCLI-D-19-0571.1
174,Journal of Climate,Journal of Climate,"['Yu Huang', 'Bo Wu', 'Tim Li', 'Tianjun Zhou', 'Bo Liu']",2019,10.1175/JCLI-D-18-0452.1
175,Climate Dynamics,Climate Dynamics,"['Jing Zhang', 'Yusen Liu', 'Cheng Sun', 'Jianping Li', 'Ruiqiang Ding', 'Fei Xie', 'Tiejun Xie', 'Yazhou Zhang', 'Zhanqiu Gong']",2021,10.1007/s00382-020-05496-9
176,Stochastic Environmental Research and Risk Assessment,Stochastic Environmental Research and Risk Assessment,"['Md Monowar Hossain', 'Nikhil Garg', 'A. H. M. Faisal Anwar', 'Mahesh Prakash', 'Mohammed Bari']",2022,10.1007/s00477-021-02140-8
177,Geophysical Research Letters,Geophysical Research Letters,"['Leonard F. Borchert', 'André Düsterhus', 'Sebastian Brune', 'Wolfgang A. Müller', 'Johanna Baehr']",2019,10.1029/2019GL084758
178,Nature Communications,Nature Communications,"['Giovanni Liguori', 'Shayne McGregor', 'Julie M. Arblaster', 'Martin S. Singh', 'Gerald A. Meehl']",2020,10.1038/s41467-020-17683-7
179,Monthly Weather Review,Monthly Weather Review,"['Jingmin Li', 'Felix Pollinger', 'Heiko Paeth']",2020,10.1175/MWR-D-19-0302.1
180,Journal of Advances in Modeling Earth Systems,Journal of Advances in Modeling Earth Systems,"['Iuliia Polkova', 'Sebastian Brune', 'Christopher Kadow', 'Vanya Romanova', 'Gereon Gollan', 'Johanna Baehr', 'Rita Glowienka-Hense', 'Richard J. Greatbatch', 'Andreas Hense', 'Sebastian Illing', 'Armin Köhl', 'Jürgen Kröger', 'Wolfgang A. Müller', 'Klaus Pankatz', 'Detlef Stammer']",2019,10.1029/2018MS001439
181,Environmental Research Letters,Environmental Research Letters,"['L F Borchert', 'V Koul', 'M B Menary', 'D J Befort', 'D Swingedouw', 'G Sgubin', 'J Mignot']",2021,10.1088/1748-9326/ac20f5
182,Geoscientific Model Development,Geoscientific Model Development,"['Martin Juckes', 'Karl E. Taylor', 'Paul J. Durack', 'Bryan Lawrence', 'Matthew S. Mizielinski', 'Alison Pamment', 'Jean-Yves Peterschmitt', 'Michel Rixen', 'Stéphane Sénési']",2020,10.5194/gmd-13-201-2020
183,Frontiers in Climate,Frontiers in Climate,"['Doug M. Smith', 'Nathan P. Gillett', 'Isla R. Simpson', 'Panos J. Athanasiadis', 'Johanna Baehr', 'Ingo Bethke', 'Tarkan A. Bilge', 'Rémy Bonnet', 'Olivier Boucher', 'Kirsten L. Findell', 'Guillaume Gastineau', 'Silvio Gualdi', 'Leon Hermanson', 'L. Ruby Leung', 'Juliette Mignot', 'Wolfgang A. Müller', 'Scott Osprey', 'Odd Helge Otterå', 'Geeta G. Persad', 'Adam A. Scaife', 'Gavin A. Schmidt', 'Hideo Shiogama', 'Rowan T. Sutton', 'Didier Swingedouw', 'Shuting Yang', 'Tianjun Zhou', 'Tilo Ziehn']",2022,10.3389/fclim.2022.955414
