,journal_title,article_title,contributors,year,doi
52,Geophysical Research Letters,Geophysical Research Letters,"['Shanshui Yuan', 'Steven M. Quiring', 'Zachary T. Leasor']",2021,10.1029/2020GL089991
53,Journal of Advances in Modeling Earth Systems,Journal of Advances in Modeling Earth Systems,"['Roland Séférian', 'Pierre Nabat', 'Martine Michou', 'David Saint‐Martin', 'Aurore Voldoire', 'Jeanne Colin', 'Bertrand Decharme', 'Christine Delire', 'Sarah Berthet', 'Matthieu Chevallier', 'Stephane Sénési', 'Laurent Franchisteguy', 'Jessica Vial', 'Marc Mallet', 'Emilie Joetzjer', 'Olivier Geoffroy', 'Jean‐François Guérémy', 'Marie‐Pierre Moine', 'Rym Msadek', 'Aurélien Ribes', 'Matthias Rocher', 'Romain Roehrig', 'David Salas‐y‐Mélia', 'Emilia Sanchez', 'Laurent Terray', 'Sophie Valcke', 'Robin Waldman', 'Olivier Aumont', 'Laurent Bopp', 'Julie Deshayes', 'Christian Éthé', 'Gurvan Madec']",2019,10.1029/2019MS001791
54,Global Biogeochemical Cycles,Global Biogeochemical Cycles,"['Gordon B. Bonan', 'Danica L. Lombardozzi', 'William R. Wieder', 'Keith W. Oleson', 'David M. Lawrence', 'Forrest M. Hoffman', 'Nathan Collier']",2019,10.1029/2019GB006175
55,The Cryosphere,The Cryosphere,"['Silvia Terzago', 'Jost von Hardenberg', 'Elisa Palazzi', 'Antonello Provenzale']",2017,10.5194/tc-11-1625-2017
56,Journal of Glaciology,Journal of Glaciology,"['Yukihiko Onuma', 'Nozomu Takeuchi', 'Jun Uetake', 'Masashi Niwano', 'Sota Tanaka', 'Naoko Nagatsuka', 'Teruo Aoki']",2023,10.1017/jog.2022.76
57,Journal of Geophysical Research: Atmospheres,Journal of Geophysical Research: Atmospheres,"['Yan Wang', 'Zhenghui Xie', 'Binghao Jia', 'Longhuan Wang', 'Ruichao Li', 'Bin Liu', 'Si Chen', 'Jinbo Xie', 'Peihua Qin']",2020,10.1029/2019JD032001
58,Remote Sensing of Environment,Remote Sensing of Environment,"['Jian Peng', 'Maliko Tanguy', 'Emma L. Robinson', 'Ewan Pinnington', 'Jonathan Evans', 'Rich Ellis', 'Elizabeth Cooper', 'Jamie Hannaford', 'Eleanor Blyth', 'Simon Dadson']",2021,10.1016/j.rse.2021.112610
59,Nature,Nature,"['Laibao Liu', 'Philippe Ciais', 'Mengxi Wu', 'Ryan S. Padrón', 'Pierre Friedlingstein', 'Jonas Schwaab', 'Lukas Gudmundsson', 'Sonia I. Seneviratne']",2023,10.1038/s41586-023-06056-x
60,Climate Dynamics,Climate Dynamics,"['Soumya Mohan', 'Prasad K. Bhaskaran']",2019,10.1007/s00382-019-04874-2
61,Land,Land,"['Juliana Freitas Santos', 'Udo Schickhoff', 'Shabeh ul Hasson', 'Jürgen Böhner']",2023,10.3390/land12040880
62,Hydrology and Earth System Sciences,Hydrology and Earth System Sciences,"['Hiroki Mizuochi', 'Agnès Ducharne', 'Frédérique Cheruy', 'Josefine Ghattas', 'Amen Al-Yaari', 'Jean-Pierre Wigneron', 'Vladislav Bastrikov', 'Philippe Peylin', 'Fabienne Maignan', 'Nicolas Vuichard']",2021,10.5194/hess-25-2199-2021
63,Atmospheric and Oceanic Science Letters,Atmospheric and Oceanic Science Letters,"['Ruichao Li', 'Jinbo Xie', 'Zhenghui Xie', 'Junqiang Gao', 'Binghao Jia', 'Peihua Qin', 'Longhuan Wang', 'Yan Wang', 'Bin Liu', 'Si Chen']",2021,10.1016/j.aosl.2020.100007
