,journal_title,article_title,contributors,year,doi
39,Biogeosciences,Biogeosciences,"['Lena R. Boysen', 'Victor Brovkin', 'Julia Pongratz', 'David M. Lawrence', 'Peter Lawrence', 'Nicolas Vuichard', 'Philippe Peylin', 'Spencer Liddicoat', 'Tomohiro Hajima', 'Yanwu Zhang', 'Matthias Rocher', 'Christine Delire', 'Roland Séférian', 'Vivek K. Arora', 'Lars Nieradzik', 'Peter Anthoni', 'Wim Thiery', 'Marysa M. Laguë', 'Deborah Lawrence', 'Min-Hui Lo']",2020,10.5194/bg-17-5615-2020
40,Scientific Reports,Scientific Reports,"['Yi-Ying Chen', 'Wei Huang', 'Wei-Hong Wang', 'Jehn-Yih Juang', 'Jing-Shan Hong', 'Tomomichi Kato', 'Sebastiaan Luyssaert']",2019,10.1038/s41598-019-40063-1
41,Atmospheric Research,Atmospheric Research,"['Wanling Xu', 'Tianshu Lin', 'Xiangyong Lei', 'Ying Chen', 'Lu Gao']",2023,10.1016/j.atmosres.2023.106845
42,Land,Land,"['Kyla M. Dahlin', 'Donald Akanga', 'Danica L. Lombardozzi', 'David E. Reed', 'Gabriela Shirkey', 'Cheyenne Lei', 'Michael Abraha', 'Jiquan Chen']",2020,10.3390/land9100398
43,Atmospheric Chemistry and Physics,Atmospheric Chemistry and Physics,"['Wenfu Tang', 'Simone Tilmes', 'David M. Lawrence', 'Fang Li', 'Cenlin He', 'Louisa K. Emmons', 'Rebecca R. Buchholz', 'Lili Xia']",2023,10.5194/acp-23-5467-2023
44,Earth System Science Data,Earth System Science Data,"['Kees Klein Goldewijk', 'Arthur Beusen', 'Jonathan Doelman', 'Elke Stehfest']",2017,10.5194/essd-9-927-2017
45,Atmospheric Chemistry and Physics,Atmospheric Chemistry and Physics,"['Fang Li', 'Maria Val Martin', 'Meinrat O. Andreae', 'Almut Arneth', 'Stijn Hantson', 'Johannes W. Kaiser', 'Gitta Lasslop', 'Chao Yue', 'Dominique Bachelet', 'Matthew Forrest', 'Erik Kluzek', 'Xiaohong Liu', 'Stephane Mangeon', 'Joe R. Melton', 'Daniel S. Ward', 'Anton Darmenov', 'Thomas Hickler', 'Charles Ichoku', 'Brian I. Magi', 'Stephen Sitch', 'Guido R. van der Werf', 'Christine Wiedinmyer', 'Sam S. Rabin']",2019,10.5194/acp-19-12545-2019
46,Journal of Geophysical Research: Atmospheres,Journal of Geophysical Research: Atmospheres,"['Feng Shi', 'Cheng Sun', 'Antoine Guion', 'Qiuzhen Yin', 'Sen Zhao', 'Ting Liu', 'Zhengtang Guo']",2022,10.1029/2021JD035832
47,Geoscientific Model Development,Geoscientific Model Development,"['Tomohiro Hajima', 'Michio Watanabe', 'Akitomo Yamamoto', 'Hiroaki Tatebe', 'Maki A. Noguchi', 'Manabu Abe', 'Rumi Ohgaito', 'Akinori Ito', 'Dai Yamazaki', 'Hideki Okajima', 'Akihiko Ito', 'Kumiko Takata', 'Koji Ogochi', 'Shingo Watanabe', 'Michio Kawamiya']",2020,10.5194/gmd-13-2197-2020
48,Ecotoxicology and Environmental Safety,Ecotoxicology and Environmental Safety,"['L.W. Ngatia', 'L.M. De Oliveira', 'O.C. Betiku', 'R. Fu', 'D.N. Moriasi', 'J.L. Steiner', 'J.A. Verser', 'R.W. Taylor']",2021,10.1016/j.ecoenv.2020.111468
49,Atmospheric Science Letters,Atmospheric Science Letters,"['Ying Jiang', 'Xiyan Xu', 'Hanwu Liu', 'Xuguang Dong', 'Wenben Wang', 'Gensuo Jia']",2017,10.1002/asl.791
50,Environmental Research Letters,Environmental Research Letters,"['Qilin Wang', 'Yingping Wang', 'Lu Zhang', 'Shujing Qin', 'Quan Zhang', 'Pan Liu', 'Liu Liu', 'Kaijie Zou', 'Shujie Cheng', 'Lei Cheng']",2021,10.1088/1748-9326/ac38db
51,Environmental Research Letters,Environmental Research Letters,"['Andrew H MacDougall', 'Joeri Rogelj', 'Patrick Withey']",2021,10.1088/1748-9326/ac3aa5
52,Nature Reviews Earth & Environment,Nature Reviews Earth & Environment,"['Ana Bastos', 'Sebastian Sippel', 'Dorothea Frank', 'Miguel D. Mahecha', 'Sönke Zaehle', 'Jakob Zscheischler', 'Markus Reichstein']",2023,10.1038/s43017-023-00410-3
53,International Journal of Climatology,International Journal of Climatology,"['Nagaraju Chilukoti', 'Yongkang Xue']",2021,10.1002/joc.6621
