,journal_title,article_title,contributors,year,doi
57,Climate Dynamics,Climate Dynamics,"['Elsa Mohino', 'Teresa Losada']",2015,10.1007/s00382-015-2471-y
58,The Cryosphere,The Cryosphere,"['Stephen E. L. Howell', 'Frédéric Laliberté', 'Ron Kwok', 'Chris Derksen', 'Joshua King']",2016,10.5194/tc-10-1463-2016
59,Current Forestry Reports,Current Forestry Reports,"['Miko U. F. Kirschbaum', 'Andrew M. S. McMillan']",2018,10.1007/s40725-018-0073-8
60,Science China Earth Sciences,Science China Earth Sciences,"['GuoDong Sun', 'Fei Peng', 'Mu Mu']",2017,10.1007/s11430-016-9061-3
61,Climate Dynamics,Climate Dynamics,"['Weiwen Wang', 'Wen Zhou', 'Yun Li', 'Xin Wang', 'Dongxiao Wang']",2015,10.1007/s00382-014-2287-1
62,Journal of Geophysical Research: Atmospheres,Journal of Geophysical Research: Atmospheres,"['Jia Zhu', 'Hong Liao']",2016,10.1002/2015JD023926
63,Earth's Future,Earth's Future,"['John C. Moore', 'Chao Yue', 'Liyun Zhao', 'Xiaoran Guo', 'Shingo Watanabe', 'Duoying Ji']",2019,10.1029/2019EF001393
64,Geoscience Letters,Geoscience Letters,"['Shijing Liang', 'Alan D. Ziegler', 'Laurent Z. X. Li', 'Jie Wu', 'Dashan Wang', 'Zhenzhong Zeng']",2022,10.1186/s40562-022-00252-9
65,Journal of Geophysical Research: Atmospheres,Journal of Geophysical Research: Atmospheres,"['V. Eyring', 'J. M. Arblaster', 'I. Cionni', 'J. Sedláček', 'J. Perlwitz', 'P. J. Young', 'S. Bekki', 'D. Bergmann', 'P. Cameron-Smith', 'W. J. Collins', 'G. Faluvegi', 'K.-D. Gottschaldt', 'L. W. Horowitz', 'D. E. Kinnison', 'J.-F. Lamarque', 'D. R. Marsh', 'D. Saint-Martin', 'D. T. Shindell', 'K. Sudo', 'S. Szopa', 'S. Watanabe']",2013,10.1002/jgrd.50316
66,Global Change Biology,Global Change Biology,"['Stefano Potter', 'Kylen Solvik', 'Angela Erb', 'Scott J. Goetz', 'Jill F. Johnstone', 'Michelle C. Mack', 'James T. Randerson', 'Miguel O. Román', 'Crystal L. Schaaf', 'Merritt R. Turetsky', 'Sander Veraverbeke', 'Xanthe J. Walker', 'Zhuosen Wang', 'Richard Massey', 'Brendan M. Rogers']",2020,10.1111/gcb.14888
67,Climate Dynamics,Climate Dynamics,"['Xin Qu', 'Alex Hall', 'Stephen A. Klein', 'Peter M. Caldwell']",2015,10.1007/s00382-014-2441-9
68,Climate Dynamics,Climate Dynamics,"['Frédéric Hourdin', 'Marie-Alice Foujols', 'Francis Codron', 'Virginie Guemas', 'Jean-Louis Dufresne', 'Sandrine Bony', 'Sébastien Denvil', 'Lionel Guez', 'François Lott', 'Josefine Ghattas', 'Pascale Braconnot', 'Olivier Marti', 'Yann Meurdesoif', 'Laurent Bopp']",2013,10.1007/s00382-012-1411-3
69,International Journal of Climatology,International Journal of Climatology,"['Aurélien Ribes', 'Lola Corre', 'Anne-Laure Gibelin', 'Brigitte Dubuisson']",2016,10.1002/joc.4593
70,Journal of Climate,Journal of Climate,"['Chunxi Zhang', 'Yuqing Wang', 'Kevin Hamilton', 'Axel Lauer']",2016,10.1175/JCLI-D-15-0432.1
71,Atmospheric Chemistry and Physics,Atmospheric Chemistry and Physics,"['Mengdie Xie', 'John C. Moore', 'Liyun Zhao', 'Michael Wolovick', 'Helene Muri']",2022,10.5194/acp-22-4581-2022
72,Global and Planetary Change,Global and Planetary Change,"['Bidyabati Soraisam', 'Ashok Karumuri', 'Pai D.S.']",2018,10.1016/j.gloplacha.2017.11.010
73,Climate Dynamics,Climate Dynamics,"['Suchul Kang', 'Eun-Soon Im', 'Elfatih A. B. Eltahir']",2019,10.1007/s00382-018-4164-9
74,International Journal of Climatology,International Journal of Climatology,"['Shangfeng Chen', 'Jianping Guo', 'Linye Song', 'Jian Li', 'Lin Liu', 'Jason Blake Cohen']",2019,10.1002/joc.5842
75,Journal of Advances in Modeling Earth Systems,Journal of Advances in Modeling Earth Systems,"['Takahito Kataoka', 'Hiroaki Tatebe', 'Hiroshi Koyama', 'Takashi Mochizuki', 'Koji Ogochi', 'Hiroaki Naoe', 'Yukiko Imada', 'Hideo Shiogama', 'Masahide Kimoto', 'Masahiro Watanabe']",2020,10.1029/2019MS002035
76,Earth and Planetary Science Letters,Earth and Planetary Science Letters,"['Y. Wu', 'T. Park', 'W. Park', 'M. Latif']",2018,10.1016/j.epsl.2017.10.012
77,Energy and Buildings,Energy and Buildings,"['Aaron J.E. Bach', 'Jean P. Palutikof', 'Fahim N. Tonmoy', 'James W. Smallcombe', 'Shannon Rutherford', 'Ashikur R. Joarder', 'Monir Hossain', 'Ollie Jay']",2023,10.1016/j.enbuild.2023.112954
