,journal_title,article_title,contributors,year,doi
38,Geoscientific Model Development,Geoscientific Model Development,"['Davide Zanchettin', 'Claudia Timmreck', 'Myriam Khodri', 'Anja Schmidt', 'Matthew Toohey', 'Manabu Abe', 'Slimane Bekki', 'Jason Cole', 'Shih-Wei Fang', 'Wuhu Feng', 'Gabriele Hegerl', 'Ben Johnson', 'Nicolas Lebas', 'Allegra N. LeGrande', 'Graham W. Mann', 'Lauren Marshall', 'Landon Rieger', 'Alan Robock', 'Sara Rubinetti', 'Kostas Tsigaridis', 'Helen Weierbach']",2022,10.5194/gmd-15-2265-2022
39,Geoscientific Model Development,Geoscientific Model Development,"['Edwin P. Gerber', 'Elisa Manzini']",2016,10.5194/gmd-9-3413-2016
40,Climate Dynamics,Climate Dynamics,"['Weiyi Sun', 'Bin Wang', 'Deliang Chen', 'Chaochao Gao', 'Guonian Lu', 'Jian Liu']",2020,10.1007/s00382-020-05371-7
41,Geoscientific Model Development,Geoscientific Model Development,"['Masa Kageyama', 'Pascale Braconnot', 'Sandy P. Harrison', 'Alan M. Haywood', 'Johann H. Jungclaus', 'Bette L. Otto-Bliesner', 'Jean-Yves Peterschmitt', 'Ayako Abe-Ouchi', 'Samuel Albani', 'Patrick J. Bartlein', 'Chris Brierley', 'Michel Crucifix', 'Aisling Dolan', 'Laura Fernandez-Donado', 'Hubertus Fischer', 'Peter O. Hopcroft', 'Ruza F. Ivanovic', 'Fabrice Lambert', 'Daniel J. Lunt', 'Natalie M. Mahowald', 'W. Richard Peltier', 'Steven J. Phipps', 'Didier M. Roche', 'Gavin A. Schmidt', 'Lev Tarasov', 'Paul J. Valdes', 'Qiong Zhang', 'Tianjun Zhou']",2018,10.5194/gmd-11-1033-2018
42,Earth System Science Data,Earth System Science Data,"['Mahesh Kovilakam', 'Larry W. Thomason', 'Nicholas Ernest', 'Landon Rieger', 'Adam Bourassa', 'Luis Millán']",2020,10.5194/essd-12-2607-2020
43,Atmospheric Chemistry and Physics,Atmospheric Chemistry and Physics,"['Daniele Visioni', 'Ewa M. Bednarz', 'Walker R. Lee', 'Ben Kravitz', 'Andy Jones', 'Jim M. Haywood', 'Douglas G. MacMartin']",2023,10.5194/acp-23-663-2023
44,Climate Dynamics,Climate Dynamics,"['Jing Chai', 'Fei Liu', 'Chen Xing', 'Bin Wang', 'Chaochao Gao', 'Jian Liu', 'Deliang Chen']",2020,10.1007/s00382-020-05453-6
45,Proceedings of the National Academy of Sciences,Proceedings of the National Academy of Sciences,"['Ernesto Tejedor', 'Nathan J. Steiger', 'Jason E. Smerdon', 'Roberto Serrano-Notivoli', 'Mathias Vuille']",2021,10.1073/pnas.2019145118
46,Geophysical Research Letters,Geophysical Research Letters,"['Beatrice Ellerhoff', 'Moritz J. Kirschner', 'Elisa Ziegler', 'Max D. Holloway', 'Louise Sime', 'Kira Rehfeld']",2022,10.1029/2022GL098335
47,Geophysical Research Letters,Geophysical Research Letters,"['Francesco S. R. Pausata', 'Yang Zhao', 'Davide Zanchettin', 'Rodrigo Caballero', 'David S. Battisti']",2023,10.1029/2022GL102183
48,Weather and Climate Dynamics,Weather and Climate Dynamics,"['Stergios Misios', 'Ioannis Logothetis', 'Mads F. Knudsen', 'Christoffer Karoff', 'Vassilis Amiridis', 'Kleareti Tourpali']",2022,10.5194/wcd-3-811-2022
49,Nature,Nature,"['Sébastien Guillet', 'Christophe Corona', 'Clive Oppenheimer', 'Franck Lavigne', 'Myriam Khodri', 'Francis Ludlow', 'Michael Sigl', 'Matthew Toohey', 'Paul S. Atkins', 'Zhen Yang', 'Tomoko Muranaka', 'Nobuko Horikawa', 'Markus Stoffel']",2023,10.1038/s41586-023-05751-z
50,Environmental Research Letters,Environmental Research Letters,"['Seungmok Paik', 'Seung-Ki Min', 'Seok-Woo Son', 'Eun-Pa Lim', 'Shayne McGregor', 'Soon-Il An', 'Jong-Seong Kug', 'Sang-Wook Yeh']",2023,10.1088/1748-9326/acd5e6
51,Climate of the Past,Climate of the Past,"['Evelien van Dijk', 'Johann Jungclaus', 'Stephan Lorenz', 'Claudia Timmreck', 'Kirstin Krüger']",2022,10.5194/cp-18-1601-2022
