,journal_title,article_title,contributors,year,doi
82,Frontiers in Marine Science,Frontiers in Marine Science,"['Hugo Dayan', 'Goneri Le Cozannet', 'Sabrina Speich', 'Rémi Thiéblemont']",2021,10.3389/fmars.2021.569992
83,Journal of Advances in Modeling Earth Systems,Journal of Advances in Modeling Earth Systems,"['Marcus Lofverstrom', 'Jeremy G. Fyke', 'Katherine Thayer‐Calder', 'Laura Muntjewerf', 'Miren Vizcaino', 'William J. Sacks', 'William H. Lipscomb', 'Bette L. Otto‐Bliesner', 'Sarah L. Bradley']",2020,10.1029/2019MS001984
84,Geophysical Research Letters,Geophysical Research Letters,"['Laura Muntjewerf', 'Michele Petrini', 'Miren Vizcaino', 'Carolina Ernani da Silva', 'Raymond Sellevold', 'Meike D. W. Scherrenberg', 'Katherine Thayer‐Calder', 'Sarah L. Bradley', 'Jan T. M. Lenaerts', 'William H. Lipscomb', 'Marcus Lofverstrom']",2020,10.1029/2019GL086836
85,Earth's Future,Earth's Future,"['Aslak Grinsted', 'Jonathan Bamber', 'Rory Bingham', 'Sammie Buzzard', 'Isabel Nias', 'Kelvin Ng', 'Jennifer Weeks']",2022,10.1029/2022EF002696
86,book,Interacting Climates of Ocean Basins,['Carlos R. Mechoso'],2020,10.1017/9781108610995
87,Journal of Advances in Modeling Earth Systems,Journal of Advances in Modeling Earth Systems,"['Roland Séférian', 'Pierre Nabat', 'Martine Michou', 'David Saint‐Martin', 'Aurore Voldoire', 'Jeanne Colin', 'Bertrand Decharme', 'Christine Delire', 'Sarah Berthet', 'Matthieu Chevallier', 'Stephane Sénési', 'Laurent Franchisteguy', 'Jessica Vial', 'Marc Mallet', 'Emilie Joetzjer', 'Olivier Geoffroy', 'Jean‐François Guérémy', 'Marie‐Pierre Moine', 'Rym Msadek', 'Aurélien Ribes', 'Matthias Rocher', 'Romain Roehrig', 'David Salas‐y‐Mélia', 'Emilia Sanchez', 'Laurent Terray', 'Sophie Valcke', 'Robin Waldman', 'Olivier Aumont', 'Laurent Bopp', 'Julie Deshayes', 'Christian Éthé', 'Gurvan Madec']",2019,10.1029/2019MS001791
88,Journal of Physics: Conference Series,Journal of Physics: Conference Series,"['Xin Liu', 'Chongji Zeng', 'Tienan Yin', 'Zhaoyi Wang', 'Zhijie Li', 'Zhongyuan Yao', 'Yu Zhang', 'Qihui Yan']",2023,10.1088/1742-6596/2486/1/012027
89,The Cryosphere,The Cryosphere,"['Jeremy Rohmer', 'Remi Thieblemont', 'Goneri Le Cozannet', 'Heiko Goelzer', 'Gael Durand']",2022,10.5194/tc-16-4637-2022
90,Geoscientific Model Development,Geoscientific Model Development,"['Martin Juckes', 'Karl E. Taylor', 'Paul J. Durack', 'Bryan Lawrence', 'Matthew S. Mizielinski', 'Alison Pamment', 'Jean-Yves Peterschmitt', 'Michel Rixen', 'Stéphane Sénési']",2020,10.5194/gmd-13-201-2020
91,The Cryosphere,The Cryosphere,"['Martin Rückamp', 'Heiko Goelzer', 'Angelika Humbert']",2020,10.5194/tc-14-3309-2020
92,Geoscientific Model Development,Geoscientific Model Development,"['Ralf Döscher', 'Mario Acosta', 'Andrea Alessandri', 'Peter Anthoni', 'Thomas Arsouze', 'Tommi Bergman', 'Raffaele Bernardello', 'Souhail Boussetta', 'Louis-Philippe Caron', 'Glenn Carver', 'Miguel Castrillo', 'Franco Catalano', 'Ivana Cvijanovic', 'Paolo Davini', 'Evelien Dekker', 'Francisco J. Doblas-Reyes', 'David Docquier', 'Pablo Echevarria', 'Uwe Fladrich', 'Ramon Fuentes-Franco', 'Matthias Gröger', 'Jost v. Hardenberg', 'Jenny Hieronymus', 'M. Pasha Karami', 'Jukka-Pekka Keskinen', 'Torben Koenigk', 'Risto Makkonen', 'François Massonnet', 'Martin Ménégoz', 'Paul A. Miller', 'Eduardo Moreno-Chamarro', 'Lars Nieradzik', 'Twan van Noije', 'Paul Nolan', ""Declan O'Donnell"", 'Pirkka Ollinaho', 'Gijs van den Oord', 'Pablo Ortega', 'Oriol Tintó Prims', 'Arthur Ramos', 'Thomas Reerink', 'Clement Rousset', 'Yohan Ruprich-Robert', 'Philippe Le Sager', 'Torben Schmith', 'Roland Schrödner', 'Federico Serva', 'Valentina Sicardi', 'Marianne Sloth Madsen', 'Benjamin Smith', 'Tian Tian', 'Etienne Tourigny', 'Petteri Uotila', 'Martin Vancoppenolle', 'Shiyu Wang', 'David Wårlind', 'Ulrika Willén', 'Klaus Wyser', 'Shuting Yang', 'Xavier Yepes-Arbós', 'Qiong Zhang']",2022,10.5194/gmd-15-2973-2022
93,Reviews of Geophysics,Reviews of Geophysics,"['Benjamin D. Hamlington', 'Alex S. Gardner', 'Erik Ivins', 'Jan T. M. Lenaerts', 'J. T. Reager', 'David S. Trossman', 'Edward D. Zaron', 'Surendra Adhikari', 'Anthony Arendt', 'Andy Aschwanden', 'Brian D. Beckley', 'David P. S. Bekaert', 'Geoffrey Blewitt', 'Lambert Caron', 'Don P. Chambers', 'Hrishikesh A. Chandanpurkar', 'Knut Christianson', 'Beata Csatho', 'Richard I. Cullather', 'Robert M. DeConto', 'John T. Fasullo', 'Thomas Frederikse', 'Jeffrey T. Freymueller', 'Daniel M. Gilford', 'Manuela Girotto', 'William C. Hammond', 'Regine Hock', 'Nicholas Holschuh', 'Robert E. Kopp', 'Felix Landerer', 'Eric Larour', 'Dimitris Menemenlis', 'Mark Merrifield', 'Jerry X. Mitrovica', 'R. Steven Nerem', 'Isabel J. Nias', 'Veronica Nieves', 'Sophie Nowicki', 'Kishore Pangaluru', 'Christopher G. Piecuch', 'Richard D. Ray', 'David R. Rounce', 'Nicole‐Jeanne Schlegel', 'Hélène Seroussi', 'Manoochehr Shirzaei', 'William V. Sweet', 'Isabella Velicogna', 'Nadya Vinogradova', 'Thomas Wahl', 'David N. Wiese', 'Michael J. Willis']",2020,10.1029/2019RG000672
94,The Cryosphere,The Cryosphere,"['Eveline C. van der Linden', 'Dewi Le Bars', 'Erwin Lambert', 'Sybren Drijfhout']",2023,10.5194/tc-17-79-2023
95,The Cryosphere,The Cryosphere,"['Ronja Reese', 'Anders Levermann', 'Torsten Albrecht', 'Hélène Seroussi', 'Ricarda Winkelmann']",2020,10.5194/tc-14-3097-2020
96,Current Climate Change Reports,Current Climate Change Reports,"['Twila Moon', 'Andreas Ahlstrøm', 'Heiko Goelzer', 'William Lipscomb', 'Sophie Nowicki']",2018,10.1007/s40641-018-0107-0
97,Journal of Geophysical Research: Earth Surface,Journal of Geophysical Research: Earth Surface,"['Leonardus van\xa0Kampenhout', 'Jan T. M. Lenaerts', 'William H. Lipscomb', 'Stef Lhermitte', 'Brice Noël', 'Miren Vizcaíno', 'William J. Sacks', 'Michiel R. van\xa0den\xa0Broeke']",2020,10.1029/2019JF005318
98,Climate Change and Impacts on Variability and Interactions,Interacting Climates of Ocean Basins,"['Anny Cazenave', 'Gerald Meehl', 'Marisa Montoya', 'J. R. Toggweiler', 'Claudia Wieners']",2020,10.1017/9781108610995.010
99,Science Advances,Science Advances,"['Dawei Li', 'Robert M. DeConto', 'David Pollard']",2023,10.1126/sciadv.add7082
