,journal_title,article_title,contributors,year,doi
39,Science,Science,"['Amy E. Zanne', 'Habacuc Flores-Moreno', 'Jeff R. Powell', 'William K. Cornwell', 'James W. Dalling', 'Amy T. Austin', 'Aimée T. Classen', 'Paul Eggleton', 'Kei-ichi Okada', 'Catherine L. Parr', 'E. Carol Adair', 'Stephen Adu-Bredu', 'Md Azharul Alam', 'Carolina Alvarez-Garzón', 'Deborah Apgaua', 'Roxana Aragón', 'Marcelo Ardon', 'Stefan K. Arndt', 'Louise A. Ashton', 'Nicholas A. Barber', 'Jacques Beauchêne', 'Matty P. Berg', 'Jason Beringer', 'Matthias M. Boer', 'José Antonio Bonet', 'Katherine Bunney', 'Tynan J. Burkhardt', 'Dulcinéia Carvalho', 'Dennis Castillo-Figueroa', 'Lucas A. Cernusak', 'Alexander W. Cheesman', 'Tainá M. Cirne-Silva', 'Jamie R. Cleverly', 'Johannes H. C. Cornelissen', 'Timothy J. Curran', 'André M. D’Angioli', 'Caroline Dallstream', 'Nico Eisenhauer', 'Fidele Evouna Ondo', 'Alex Fajardo', 'Romina D. Fernandez', 'Astrid Ferrer', 'Marco A. L. Fontes', 'Mark L. Galatowitsch', 'Grizelle González', 'Felix Gottschall', 'Peter R. Grace', 'Elena Granda', 'Hannah M. Griffiths', 'Mariana Guerra Lara', 'Motohiro Hasegawa', 'Mariet M. Hefting', 'Nina Hinko-Najera', 'Lindsay B. Hutley', 'Jennifer Jones', 'Anja Kahl', 'Mirko Karan', 'Joost A. Keuskamp', 'Tim Lardner', 'Michael Liddell', 'Craig Macfarlane', 'Cate Macinnis-Ng', 'Ravi F. Mariano', 'M. Soledad Méndez', 'Wayne S. Meyer', 'Akira S. Mori', 'Aloysio S. Moura', 'Matthew Northwood', 'Romà Ogaya', 'Rafael S. Oliveira', 'Alberto Orgiazzi', 'Juliana Pardo', 'Guille Peguero', 'Josep Penuelas', 'Luis I. Perez', 'Juan M. Posada', 'Cecilia M. Prada', 'Tomáš Přívětivý', 'Suzanne M. Prober', 'Jonathan Prunier', 'Gabriel W. Quansah', 'Víctor Resco de Dios', 'Ronny Richter', 'Mark P. Robertson', 'Lucas F. Rocha', 'Megan A. Rúa', 'Carolina Sarmiento', 'Richard P. Silberstein', 'Mateus C. Silva', 'Flávia Freire Siqueira', 'Matthew Glenn Stillwagon', 'Jacqui Stol', 'Melanie K. Taylor', 'François P. Teste', 'David Y. P. Tng', 'David Tucker', 'Manfred Türke', 'Michael D. Ulyshen', 'Oscar J. Valverde-Barrantes', 'Eduardo van den Berg', 'Richard S. P. van Logtestijn', 'G. F. (Ciska) Veen', 'Jason G. Vogel', 'Timothy J. Wardlaw', 'Georg Wiehl', 'Christian Wirth', 'Michaela J. Woods', 'Paul-Camilo Zalamea']",2022,10.1126/science.abo3856
40,Atmosphere,Atmosphere,"['Charles Onyutha', 'Arnold Asiimwe', 'Brian Ayugi', 'Hamida Ngoma', 'Victor Ongoma', 'Hossein Tabari']",2021,10.3390/atmos12070887
41,Science Advances,Science Advances,"['Xiaofan Ma', 'Wei Liu', 'Robert J. Allen', 'Gang Huang', 'Xichen Li']",2020,10.1126/sciadv.abc0303
42,Earth System Dynamics,Earth System Dynamics,"['Kyung-Sook Yun', 'Axel Timmermann', 'Malte F. Stuecker']",2021,10.5194/esd-12-121-2021
43,Deep Sea Research Part II: Topical Studies in Oceanography,Deep Sea Research Part II: Topical Studies in Oceanography,"['Zijian Qiu', 'Fangli Qiao', 'Chan Joo Jang', 'Lujun Zhang', 'Zhenya Song']",2021,10.1016/j.dsr2.2021.104998
44,npj Climate and Atmospheric Science,npj Climate and Atmospheric Science,"['N. N. Ridder', 'A. M. Ukkola', 'A. J. Pitman', 'S. E. Perkins-Kirkpatrick']",2022,10.1038/s41612-021-00224-4
45,Science of The Total Environment,Science of The Total Environment,"['Sisi Chen', 'Xing Yuan']",2022,10.1016/j.scitotenv.2022.153817
46,Comptes Rendus. Géoscience,Comptes Rendus. Géoscience,"['Deniz Kilic', 'Agnès Rivière', 'Nicolas Gallois', 'Agnès Ducharne', 'Shuaitao Wang', 'Philippe Peylin', 'Nicolas Flipo']",2022,10.5802/crgeos.165
47,Biology,Biology,"['Guillaume Marchessaux', 'Florian Lüskow', 'Mickaël Bejean', 'Evgeny A. Pakhomov']",2022,10.3390/biology11081100
48,Atmosphere,Atmosphere,"['Zhenjie Li', 'Hui Tao', 'Heike Hartmann', 'Buda Su', 'Yanjun Wang', 'Tong Jiang']",2020,10.3390/atmos11090909
