,journal_title,article_title,contributors,year,doi
65,Geoscientific Model Development,Geoscientific Model Development,"['Johann H. Jungclaus', 'Edouard Bard', 'Mélanie Baroni', 'Pascale Braconnot', 'Jian Cao', 'Louise P. Chini', 'Tania Egorova', 'Michael Evans', 'J. Fidel González-Rouco', 'Hugues Goosse', 'George C. Hurtt', 'Fortunat Joos', 'Jed O. Kaplan', 'Myriam Khodri', 'Kees Klein Goldewijk', 'Natalie Krivova', 'Allegra N. LeGrande', 'Stephan J. Lorenz', 'Jürg Luterbacher', 'Wenmin Man', 'Amanda C. Maycock', 'Malte Meinshausen', 'Anders Moberg', 'Raimund Muscheler', 'Christoph Nehrbass-Ahles', 'Bette I. Otto-Bliesner', 'Steven J. Phipps', 'Julia Pongratz', 'Eugene Rozanov', 'Gavin A. Schmidt', 'Hauke Schmidt', 'Werner Schmutz', 'Andrew Schurer', 'Alexander I. Shapiro', 'Michael Sigl', 'Jason E. Smerdon', 'Sami K. Solanki', 'Claudia Timmreck', 'Matthew Toohey', 'Ilya G. Usoskin', 'Sebastian Wagner', 'Chi-Ju Wu', 'Kok Leng Yeo', 'Davide Zanchettin', 'Qiong Zhang', 'Eduardo Zorita']",2017,10.5194/gmd-10-4005-2017
66,"Energy, Sustainability and Society","Energy, Sustainability and Society",['Matthias Fripp'],2018,10.1186/s13705-018-0184-x
67,WIREs Climate Change,WIREs Climate Change,"['Robert J. Nicholls', 'Susan E. Hanson', 'Jason A. Lowe', 'Aimée B. A. Slangen', 'Thomas Wahl', 'Jochen Hinkel', 'Antony J. Long']",2021,10.1002/wcc.706
68,Nature Communications,Nature Communications,"['Tianshi Du', 'Zhao Jing', 'Lixin Wu', 'Hong Wang', 'Zhaohui Chen', 'Xiaohui Ma', 'Bolan Gan', 'Haiyuan Yang']",2022,10.1038/s41467-022-34835-z
69,Nature Climate Change,Nature Climate Change,"['Michael Sigmond', 'John C. Fyfe', 'Oleg A. Saenko', 'Neil C. Swart']",2020,10.1038/s41558-020-0786-0
70,Cambridge Prisms: Coastal Futures,Cambridge Prisms: Coastal Futures,"['Aimée B.A. Slangen', 'Matthew D. Palmer', 'Carolina M.L. Camargo', 'John A. Church', 'Tamsin L. Edwards', 'Tim H.J. Hermans', 'Helene T. Hewitt', 'Gregory G. Garner', 'Jonathan M. Gregory', 'Robert E. Kopp', 'Victor Malagon Santos', 'Roderik S.W. van de Wal']",2023,10.1017/cft.2022.8
71,Journal of Climate,Journal of Climate,"['Mark Carson', 'Armin Köhl', 'Detlef Stammer']",2022,10.1175/JCLI-D-21-0484.1
72,Advances in Atmospheric Sciences,Advances in Atmospheric Sciences,"['Yaqi Wang', 'Zipeng Yu', 'Pengfei Lin', 'Hailong Liu', 'Jiangbo Jin', 'Lijuan Li', 'Yanli Tang', 'Li Dong', 'Kangjun Chen', 'Yiwen Li', 'Qian Yang', 'Mengrong Ding', 'Yao Meng', 'Bowen Zhao', 'Jilin Wei', 'Jinfeng Ma', 'Zhikuo Sun']",2020,10.1007/s00376-020-2045-8
73,Climate Dynamics,Climate Dynamics,"['Shouwei Li', 'Wei Liu', 'Kewei Lyu', 'Xuebin Zhang']",2021,10.1007/s00382-021-05803-y
74,Science Advances,Science Advances,"['Qihua Peng', 'Shang-Ping Xie', 'Dongxiao Wang', 'Rui Xin Huang', 'Gengxin Chen', 'Yeqiang Shu', 'Jia-Rui Shi', 'Wei Liu']",2022,10.1126/sciadv.abj8394
75,Nature Communications,Nature Communications,"['Maurice F. Huguenin', 'Ryan M. Holmes', 'Matthew H. England']",2022,10.1038/s41467-022-32540-5
76,Geoscientific Model Development,Geoscientific Model Development,"['Yona Silvy', 'Clément Rousset', 'Eric Guilyardi', 'Jean-Baptiste Sallée', 'Juliette Mignot', 'Christian Ethé', 'Gurvan Madec']",2022,10.5194/gmd-15-7683-2022
77,Frontiers in Marine Science,Frontiers in Marine Science,"['Matthew D. Palmer', 'Paul J. Durack', 'Maria Paz Chidichimo', 'John A. Church', 'Sophie Cravatte', 'Katy Hill', 'Johnny A. Johannessen', 'Johannes Karstensen', 'Tong Lee', 'David Legler', 'Matt Mazloff', 'Eitarou Oka', 'Sarah Purkey', 'Ben Rabe', 'Jean-Baptiste Sallée', 'Bernadette M. Sloyan', 'Sabrina Speich', 'Karina von Schuckmann', 'Josh Willis', 'Susan Wijffels']",2019,10.3389/fmars.2019.00416
78,Geophysical Research Letters,Geophysical Research Letters,"['Emily Newsom', 'Laure Zanna', 'Samar Khatiwala', 'Jonathan M. Gregory']",2020,10.1029/2020GL088429
79,Geoscientific Model Development,Geoscientific Model Development,"['Martin Juckes', 'Karl E. Taylor', 'Paul J. Durack', 'Bryan Lawrence', 'Matthew S. Mizielinski', 'Alison Pamment', 'Jean-Yves Peterschmitt', 'Michel Rixen', 'Stéphane Sénési']",2020,10.5194/gmd-13-201-2020
80,Journal of Climate,Journal of Climate,"['Fabio Boeira Dias', 'C. M. Domingues', 'S. J. Marsland', 'S. M. Griffies', 'S. R. Rintoul', 'R. Matear', 'R. Fiedler']",2020,10.1175/JCLI-D-19-0418.1
81,Journal of Advances in Modeling Earth Systems,Journal of Advances in Modeling Earth Systems,"['Quran Wu', 'Jonathan M. Gregory']",2022,10.1029/2022MS002999
82,Geophysical Research Letters,Geophysical Research Letters,"['D. B. Irving', 'S. Wijffels', 'J. A. Church']",2019,10.1029/2019GL082015
83,Surveys in Geophysics,Surveys in Geophysics,"['R. S. W. van de Wal', 'X. Zhang', 'S. Minobe', 'S. Jevrejeva', 'R. E. M. Riva', 'C. Little', 'K. Richter', 'M. D. Palmer']",2019,10.1007/s10712-019-09575-3
84,Journal of Advances in Modeling Earth Systems,Journal of Advances in Modeling Earth Systems,"['Alexander Todd', 'Laure Zanna', 'Matthew Couldrey', 'Jonathan Gregory', 'Quran Wu', 'John A. Church', 'Riccardo Farneti', 'René Navarro‐Labastida', 'Kewei Lyu', 'Oleg Saenko', 'Duo Yang', 'Xuebin Zhang']",2020,10.1029/2019MS002027
85,Journal of the Meteorological Society of Japan. Ser. II,Journal of the Meteorological Society of Japan. Ser. II,"['Seiji YUKIMOTO', 'Hideaki KAWAI', 'Tsuyoshi KOSHIRO', 'Naga OSHIMA', 'Kohei YOSHIDA', 'Shogo URAKAWA', 'Hiroyuki TSUJINO', 'Makoto DEUSHI', 'Taichu TANAKA', 'Masahiro HOSAKA', 'Shokichi YABU', 'Hiromasa YOSHIMURA', 'Eiki SHINDO', 'Ryo MIZUTA', 'Atsushi OBATA', 'Yukimasa ADACHI', 'Masayoshi ISHII']",2019,10.2151/jmsj.2019-051
86,Journal of Climate,Journal of Climate,"['Kewei Lyu', 'Xuebin Zhang', 'John A. Church']",2020,10.1175/JCLI-D-19-1029.1
87,Journal of Climate,Journal of Climate,"['Emily Newsom', 'Laure Zanna', 'Samar Khatiwala']",2022,10.1175/JCLI-D-21-0827.1
