,journal_title,article_title,contributors,year,doi
45,Journal of Geophysical Research: Atmospheres,Journal of Geophysical Research: Atmospheres,"['Divya Upadhyay', 'Pranab Mohapatra', 'Udit Bhatia']",2021,10.1029/2020JD034193
46,The Cryosphere,The Cryosphere,"['Marika M. Holland', 'David Clemens-Sewall', 'Laura Landrum', 'Bonnie Light', 'Donald Perovich', 'Chris Polashenski', 'Madison Smith', 'Melinda Webster']",2021,10.5194/tc-15-4981-2021
47,Journal of Geophysical Research: Oceans,Journal of Geophysical Research: Oceans,"['Ying Bao', 'Zhenya Song', 'Fangli Qiao']",2020,10.1029/2019JC016036
48,Journal of Climate,Journal of Climate,"['Samar Minallah', 'Allison L. Steiner']",2021,10.1175/JCLI-D-20-0751.1
49,Journal of Hydrology,Journal of Hydrology,"['Shuai Yang', 'Kewei Chen', 'Bowen Zhu', 'Yong Tian', 'Zhenzhong Zeng', 'Ming Liu', 'Chunmiao Zheng']",2022,10.1016/j.jhydrol.2022.128317
50,Deep Sea Research Part II: Topical Studies in Oceanography,Deep Sea Research Part II: Topical Studies in Oceanography,"['Wei Cheng', 'Albert J. Hermann', 'Anne B. Hollowed', 'Kirstin K. Holsman', 'Kelly A. Kearney', 'Darren J. Pilcher', 'Charles A. Stock', 'Kerim Y. Aydin']",2021,10.1016/j.dsr2.2021.104975
51,Geophysical Research Letters,Geophysical Research Letters,"['Karthik Balaguru', 'Gregory R. Foltz', 'L. Ruby Leung', 'Wenwei Xu', 'Dongmin Kim', 'Hosmay Lopez', 'Robert West']",2022,10.1029/2022GL099793
52,Geophysical Research Letters,Geophysical Research Letters,"['Hien X. Bui', 'Axel Timmermann', 'June‐Yi Lee', 'Eric D. Maloney', 'Yi‐Xian Li', 'Ji‐Eun Kim', 'Jacquelyn Shuman', 'Sun‐Seon Lee', 'William R. Wieder']",2022,10.1029/2022GL099017
53,Journal of Advances in Modeling Earth Systems,Journal of Advances in Modeling Earth Systems,"['Xihaier Luo', 'Balasubramanya T. Nadiga', 'Ji Hwan Park', 'Yihui Ren', 'Wei Xu', 'Shinjae Yoo']",2022,10.1029/2022MS003058
54,Journal of Advances in Modeling Earth Systems,Journal of Advances in Modeling Earth Systems,"['Quran Wu', 'Jonathan M. Gregory']",2022,10.1029/2022MS002999
