,journal_title,article_title,contributors,year,doi
14,Journal of Geophysical Research: Oceans,Journal of Geophysical Research: Oceans,"['Marion Lebrun', 'Martin Vancoppenolle', 'Gurvan Madec', 'Marcel Babin', 'Guislain Becu', 'Antonio Lourenço', 'Daiki Nomura', 'Frederic Vivier', 'Bruno Delille']",2023,10.1029/2021JC018161
15,The Cryosphere,The Cryosphere,"['Ann Keen', 'Ed Blockley']",2018,10.5194/tc-12-2855-2018
16,Remote Sensing,Remote Sensing,"['Zeyu Liang', 'Qing Ji', 'Xiaoping Pang', 'Pei Fan', 'Xuedong Yao', 'Yizhuo Chen', 'Ying Chen', 'Zhongnan Yan']",2023,10.3390/rs15071887
17,Geophysical Research Letters,Geophysical Research Letters,"['Lettie A. Roach', 'Jakob Dörr', 'Caroline R. Holmes', 'François Massonnet', 'Edward W. Blockley', 'Dirk Notz', 'Thomas Rackow', 'Marilyn N. Raphael', ""Siobhan P. O'Farrell"", 'David A. Bailey', 'Cecilia M. Bitz']",2020,10.1029/2019GL086729
18,Climate Change Research Letters,Climate Change Research Letters,['振亚 宋'],2020,10.12677/CCRL.2020.91004
19,Advances in Atmospheric Sciences,Advances in Atmospheric Sciences,"['Fei Zheng', 'Yue Sun', 'Qinghua Yang', 'Longjiang Mu']",2021,10.1007/s00376-020-9223-6
20,Journal of Geophysical Research: Biogeosciences,Journal of Geophysical Research: Biogeosciences,"['Inge Deschepper', 'Paul G. Myers', 'Diane Lavoie', 'Tim Papakyriakou', 'Fréderic Maps']",2023,10.1029/2022JG007294
21,Geoscientific Model Development,Geoscientific Model Development,"['Bette L. Otto-Bliesner', 'Pascale Braconnot', 'Sandy P. Harrison', 'Daniel J. Lunt', 'Ayako Abe-Ouchi', 'Samuel Albani', 'Patrick J. Bartlein', 'Emilie Capron', 'Anders E. Carlson', 'Andrea Dutton', 'Hubertus Fischer', 'Heiko Goelzer', 'Aline Govin', 'Alan Haywood', 'Fortunat Joos', 'Allegra N. LeGrande', 'William H. Lipscomb', 'Gerrit Lohmann', 'Natalie Mahowald', 'Christoph Nehrbass-Ahles', 'Francesco S. R. Pausata', 'Jean-Yves Peterschmitt', 'Steven J. Phipps', 'Hans Renssen', 'Qiong Zhang']",2017,10.5194/gmd-10-3979-2017
22,Nature Climate Change,Nature Climate Change,"['François Massonnet', 'Martin Vancoppenolle', 'Hugues Goosse', 'David Docquier', 'Thierry Fichefet', 'Edward Blanchard-Wrigglesworth']",2018,10.1038/s41558-018-0204-z
23,Geoscientific Model Development,Geoscientific Model Development,"['Alex West', 'Mat Collins', 'Ed Blockley']",2020,10.5194/gmd-13-4845-2020
24,Geoscientific Model Development,Geoscientific Model Development,"['Chao-Yuan Yang', 'Jiping Liu', 'Dake Chen']",2022,10.5194/gmd-15-1155-2022
25,Ocean Science,Ocean Science,['Céline Heuzé'],2021,10.5194/os-17-59-2021
26,Atmospheric Chemistry and Physics,Atmospheric Chemistry and Physics,"['Tatiana Egorova', 'Jan Sedlacek', 'Timofei Sukhodolov', 'Arseniy Karagodin-Doyennel', 'Franziska Zilker', 'Eugene Rozanov']",2023,10.5194/acp-23-5135-2023
27,Journal of Advances in Modeling Earth Systems,Journal of Advances in Modeling Earth Systems,"['Roland Séférian', 'Pierre Nabat', 'Martine Michou', 'David Saint‐Martin', 'Aurore Voldoire', 'Jeanne Colin', 'Bertrand Decharme', 'Christine Delire', 'Sarah Berthet', 'Matthieu Chevallier', 'Stephane Sénési', 'Laurent Franchisteguy', 'Jessica Vial', 'Marc Mallet', 'Emilie Joetzjer', 'Olivier Geoffroy', 'Jean‐François Guérémy', 'Marie‐Pierre Moine', 'Rym Msadek', 'Aurélien Ribes', 'Matthias Rocher', 'Romain Roehrig', 'David Salas‐y‐Mélia', 'Emilia Sanchez', 'Laurent Terray', 'Sophie Valcke', 'Robin Waldman', 'Olivier Aumont', 'Laurent Bopp', 'Julie Deshayes', 'Christian Éthé', 'Gurvan Madec']",2019,10.1029/2019MS001791
28,Environmental Research Letters,Environmental Research Letters,"['Xiao Zhou', 'Bin Wang', 'Fei Huang']",2022,10.1088/1748-9326/ac9d4d
29,Polar Science,Polar Science,"['James Overland', 'Edward Dunlea', 'Jason E. Box', 'Robert Corell', 'Martin Forsius', 'Vladimir Kattsov', 'Morten Skovgård Olsen', 'Janet Pawlak', 'Lars-Otto Reiersen', 'Muyin Wang']",2019,10.1016/j.polar.2018.11.008
30,Nature Geoscience,Nature Geoscience,"['L. A. Roach', 'I. Eisenman', 'T. J. W. Wagner', 'E. Blanchard-Wrigglesworth', 'C. M. Bitz']",2022,10.1038/s41561-022-00913-6
