,journal_title,article_title,contributors,year,doi
45,Scientific Reports,Scientific Reports,"['Tuantuan Zhang', 'Bohua Huang', 'Song Yang', 'Junwen Chen', 'Xingwen Jiang']",2018,10.1038/s41598-018-33436-5
46,Environmental Research Letters,Environmental Research Letters,"['D S Ward', 'E Shevliakova', 'S Malyshev', 'J-F Lamarque', 'A T Wittenberg']",2016,10.1088/1748-9326/11/12/125008
47,Climate Dynamics,Climate Dynamics,"['Jing Chai', 'Fei Liu', 'Chen Xing', 'Bin Wang', 'Chaochao Gao', 'Jian Liu', 'Deliang Chen']",2020,10.1007/s00382-020-05453-6
48,Journal of Climate,Journal of Climate,"['Who M. Kim', 'Stephen Yeager', 'Gokhan Danabasoglu']",2020,10.1175/JCLI-D-19-0530.1
49,International Journal of Wildland Fire,International Journal of Wildland Fire,"['Yongqiang Liu', 'Yang Liu', 'Joshua Fu', 'Cheng-En Yang', 'Xingyi Dong', 'Hanqin Tian', 'Bo Tao', 'Jia Yang', 'Yuhang Wang', 'Yufei Zou', 'Ziming Ke']",2021,10.1071/WF20190
50,Climate of the Past,Climate of the Past,"['Jooyeop Lee', 'Martin Claussen', 'Jeongwon Kim', 'Je-Woo Hong', 'In-Sun Song', 'Jinkyu Hong']",2022,10.5194/cp-18-313-2022
51,Climate Dynamics,Climate Dynamics,"['David P. Schneider', 'Clara Deser']",2018,10.1007/s00382-017-3893-5
52,Assessing Representativeness of Kernels Using Descriptive Statistics,2017 IEEE International Conference on Cluster Computing (CLUSTER),"['Youngsung Kim', 'John M. Dennis', 'Christopher Kerr']",2017,10.1109/CLUSTER.2017.117
53,Nature Geoscience,Nature Geoscience,"['Brian Zambri', 'Susan Solomon', 'David W. J. Thompson', 'Qiang Fu']",2021,10.1038/s41561-021-00803-3
54,Journal of Geophysical Research: Space Physics,Journal of Geophysical Research: Space Physics,"['J. Pettit', 'C. E. Randall', 'D. R. Marsh', 'C. G. Bardeen', 'L. Qian', 'C. H. Jackman', 'T. N. Woods', 'A. Coster', 'V. L. Harvey']",2018,10.1029/2018JA025294
55,Nature Communications,Nature Communications,"['Chengfei He', 'Zhengyu Liu', 'Bette L. Otto-Bliesner', 'Esther C. Brady', 'Chenyu Zhu', 'Robert Tomas', 'Sifan Gu', 'Jing Han', 'Yishuai Jin']",2021,10.1038/s41467-021-26106-0
56,Journal of Climate,Journal of Climate,"['Sabine Haase', 'Katja Matthes', 'Mojib Latif', 'Nour-Eddine Omrani']",2018,10.1175/JCLI-D-17-0520.1
57,Journal of Advances in Modeling Earth Systems,Journal of Advances in Modeling Earth Systems,"['Hsiang‐He Lee', 'Peter Bogenschutz', 'Takanobu Yamaguchi']",2021,10.1029/2020MS002240
58,Atmospheric Research,Atmospheric Research,"['Mengnan Ma', 'Jianping Tang', 'Tinghai Ou', 'Peifeng Zhou']",2023,10.1016/j.atmosres.2023.106670
59,Journal of Climate,Journal of Climate,"['Isla R. Simpson', 'Richard Seager', 'Tiffany A. Shaw', 'Mingfang Ting']",2015,10.1175/JCLI-D-14-00298.1
60,Advances in Atmospheric Sciences,Advances in Atmospheric Sciences,"['Junya Hu', 'Rong-Hua Zhang', 'Chuan Gao']",2019,10.1007/s00376-019-8197-8
61,Geophysical Research Letters,Geophysical Research Letters,"['Adriana Bailey', 'Hansi K. A. Singh', 'Jesse Nusbaumer']",2019,10.1029/2019GL082965
62,Journal of Geophysical Research: Space Physics,Journal of Geophysical Research: Space Physics,"['Liying Qian', 'Joseph M. McInerney', 'Stan S. Solomon', 'Hanli Liu', 'Alan G. Burns']",2021,10.1029/2020JA029067
63,Journal of Climate,Journal of Climate,"['Ben Kravitz', 'Douglas G. MacMartin', 'Philip J. Rasch', 'Andrew J. Jarvis']",2015,10.1175/JCLI-D-14-00663.1
64,Geophysical Research Letters,Geophysical Research Letters,"['Alek A. Petty', 'Marika M. Holland', 'David A. Bailey', 'Nathan T. Kurtz']",2018,10.1029/2018GL079223
65,Climate Dynamics,Climate Dynamics,"['Chunzai Wang', 'Sheng Chen', 'Zhenya Song', 'Xin Wang']",2021,10.1007/s00382-020-05527-5
66,Global Change Biology,Global Change Biology,"['Lorenzo Genesio', 'Roberto Bassi', 'Franco Miglietta']",2021,10.1111/gcb.15470
67,Environmental Research Letters,Environmental Research Letters,"['Jiayu Xu', 'Xin Dong', 'Tianyi Zhang', 'Junfeng Liu', 'Shu Tao']",2022,10.1088/1748-9326/ac681c
68,Journal of Advances in Modeling Earth Systems,Journal of Advances in Modeling Earth Systems,"['David A. Carozza', 'Mathieu Boudreault']",2021,10.1029/2020MS002221
69,A Collaborative Effort to Improve Lossy Compression Methods for Climate Data,2019 IEEE/ACM 5th International Workshop on Data Analysis and Reduction for Big Scientific Data (DRBSD-5),"['Dorit M. Hammerling', 'Allison H. Baker', 'Alexander Pinard', 'Peter Lindstrom']",2019,10.1109/DRBSD-549595.2019.00008
70,Nature Climate Change,Nature Climate Change,"['Soong-Ki Kim', 'Jongsoo Shin', 'Soon-Il An', 'Hyo-Jeong Kim', 'Nari Im', 'Shang-Ping Xie', 'Jong-Seong Kug', 'Sang-Wook Yeh']",2022,10.1038/s41558-022-01452-z
71,Geoscientific Model Development,Geoscientific Model Development,"['Sifan Gu', 'Zhengyu Liu']",2017,10.5194/gmd-10-4723-2017
72,Atmospheric Chemistry and Physics,Atmospheric Chemistry and Physics,"['Ben Kravitz', 'Philip J. Rasch', 'Hailong Wang', 'Alan Robock', 'Corey Gabriel', 'Olivier Boucher', 'Jason N. S. Cole', 'Jim Haywood', 'Duoying Ji', 'Andy Jones', 'Andrew Lenton', 'John C. Moore', 'Helene Muri', 'Ulrike Niemeier', 'Steven Phipps', 'Hauke Schmidt', 'Shingo Watanabe', 'Shuting Yang', 'Jin-Ho Yoon']",2018,10.5194/acp-18-13097-2018
73,Journal of Advances in Modeling Earth Systems,Journal of Advances in Modeling Earth Systems,"['P. H. Lauritzen', 'R. D. Nair', 'A. R. Herrington', 'P. Callaghan', 'S. Goldhaber', 'J. M. Dennis', 'J. T. Bacmeister', 'B. E. Eaton', 'C. M. Zarzycki', 'Mark A. Taylor', 'P. A. Ullrich', 'T. Dubos', 'A. Gettelman', 'R. B. Neale', 'B. Dobbins', 'K. A. Reed', 'C. Hannay', 'B. Medeiros', 'J. J. Benedict', 'J. J. Tribbia']",2018,10.1029/2017MS001257
74,Journal of Climate,Journal of Climate,"['Vineel Yettella', 'Jeffrey B. Weiss', 'Jennifer E. Kay', 'Angeline G. Pendergrass']",2018,10.1175/JCLI-D-17-0719.1
75,Water,Water,"['Ya-Sin Yang', 'Hsin-Fu Yeh', 'Chia-Chi Huang', 'Hsin-Yu Chen']",2023,10.3390/w15061234
