,journal_title,article_title,contributors,year,doi
39,Geophysical Research Letters,Geophysical Research Letters,"['Jing Cheng', 'Dan Tong', 'Yang Liu', 'Sha Yu', 'Liu Yan', 'Bo Zheng', 'Guannan Geng', 'Kebin He', 'Qiang Zhang']",2021,10.1029/2021GL093197
40,Theoretical and Applied Climatology,Theoretical and Applied Climatology,"['D. A. Sachindra', 'S. Ullah', 'P. Zaborski', 'M. Nowosad', 'M. Dobek']",2023,10.1007/s00704-022-04285-0
41,Atmospheric Research,Atmospheric Research,"['Buda Su', 'Jinlong Huang', 'Sanjit Kumar Mondal', 'Jianqing Zhai', 'Yanjun Wang', 'Shanshan Wen', 'Miaoni Gao', 'Yanran Lv', 'Shan Jiang', 'Tong Jiang', 'Aiwei Li']",2021,10.1016/j.atmosres.2020.105375
42,Earth's Future,Earth's Future,"['Hossein Tabari', 'Parisa Hosseinzadehtalaei', 'Wim Thiery', 'Patrick Willems']",2021,10.1029/2021EF002295
43,Atmospheric Research,Atmospheric Research,"['Mirza Junaid Ahmad', 'Kyung Sook Choi']",2023,10.1016/j.atmosres.2023.106772
44,Scientific Data,Scientific Data,"['Tingting Wang', 'Fubao Sun']",2022,10.1038/s41597-022-01300-x
45,Climatic Change,Climatic Change,"['Miguel A. Lovino', 'María Josefina Pierrestegui', 'Omar V. Müller', 'Ernesto Hugo Berbery', 'Gabriela V. Müller', 'Max Pasten']",2021,10.1007/s10584-021-03012-4
46,Current and Future Tropical Cyclone Wind Risk in the Small Island Developing States,Hurricane Risk in a Changing Climate,"['Nadia Bloemendaal', 'E. E. Koks']",2022,10.1007/978-3-031-08568-0_6
47,International Journal of Hydrogen Energy,International Journal of Hydrogen Energy,"['Fabien Paulot', 'David Paynter', 'Vaishali Naik', 'Sergey Malyshev', 'Raymond Menzel', 'Larry W. Horowitz']",2021,10.1016/j.ijhydene.2021.01.088
48,Atmospheric Chemistry and Physics,Atmospheric Chemistry and Physics,"['Debra K. Weisenstein', 'Daniele Visioni', 'Henning Franke', 'Ulrike Niemeier', 'Sandro Vattioni', 'Gabriel Chiodo', 'Thomas Peter', 'David W. Keith']",2022,10.5194/acp-22-2955-2022
49,Sustainability,Sustainability,"['Maria Meirelles', 'Fernanda Carvalho', 'João Porteiro', 'Diamantino Henriques', 'Patrícia Navarro', 'Helena Vasconcelos']",2022,10.3390/su142215174
50,Environmental Health,Environmental Health,"['Francesca Pannullo', 'Duncan Lee', 'Lucy Neal', 'Mohit Dalvi', 'Paul Agnew', 'Fiona M. O’Connor', 'Sabyasachi Mukhopadhyay', 'Sujit Sahu', 'Christophe Sarran']",2017,10.1186/s12940-017-0237-1
51,Science of The Total Environment,Science of The Total Environment,"['Jorge García-Girón', 'Jani Heino', 'Lars Lønsmann Iversen', 'Aveliina Helm', 'Janne Alahuhta']",2021,10.1016/j.scitotenv.2021.147491
52,Geocarto International,Geocarto International,"['Yuyang Xian', 'Guilin Liu', 'Huizong Yao']",2022,10.1080/10106049.2021.1993352
53,Ecological Indicators,Ecological Indicators,"['Jiangyue Li', 'Xi Chen', 'Alishir Kurban', 'Tim Van de Voorde', 'Philippe De Maeyer', 'Chi Zhang']",2021,10.1016/j.ecolind.2021.107936
54,Journal of Hydrology,Journal of Hydrology,"['F. Fuso', 'L. Stucchi', 'L. Bonacina', 'R. Fornaroli', 'D. Bocchiola']",2023,10.1016/j.jhydrol.2022.128816
55,Global Environmental Change,Global Environmental Change,"['Jiesper Strandsbjerg Tristan Pedersen', 'Filipe Duarte Santos', 'Detlef van Vuuren', 'Joyeeta Gupta', 'Ricardo Encarnação Coelho', 'Bruno A. Aparício', 'Rob Swart']",2021,10.1016/j.gloenvcha.2020.102199
56,Climate Risk Management,Climate Risk Management,"['Chandra Rupa Rajulapati', 'Hebatallah Mohamed Abdelmoaty', 'Sofia D. Nerantzaki', 'Simon Michael Papalexiou']",2022,10.1016/j.crm.2022.100433
57,Journal of Hydrology,Journal of Hydrology,"['Donghuan Li', 'Youcun Qi', 'Tianjun Zhou']",2021,10.1016/j.jhydrol.2021.126996
58,Scientific Reports,Scientific Reports,"['Torben R. Christensen', 'Johan Scheller', 'Maria Scheel', 'Daniel Alexander Rudd', 'Marcin Jackowicz-Korczynski', 'Mikhail Mastepanov', 'Efrén López-Blanco']",2023,10.1038/s41598-023-29859-4
59,Geophysical Research Letters,Geophysical Research Letters,"['Hege‐Beate Fredriksen', 'Christopher J. Smith', 'Angshuman Modak', 'Maria Rugenstein']",2023,10.1029/2023GL102916
60,Climate Dynamics,Climate Dynamics,"['Liwei Zou', 'Tianjun Zhou']",2022,10.1007/s00382-021-05947-x
61,Science of The Total Environment,Science of The Total Environment,"['S. Ramachandran', 'Maheswar Rupakheti', 'R. Cherian']",2022,10.1016/j.scitotenv.2021.150756
62,Frontiers in Environmental Science,Frontiers in Environmental Science,"['Fujun Zhou', 'Miaomiao Yao', 'Xingwen Fan', 'Guoan Yin', 'Xianglian Meng', 'Zhanju Lin']",2022,10.3389/fenvs.2022.836085
63,"Environment, Development and Sustainability","Environment, Development and Sustainability","['Amit Kumar', 'Abhilash Singh', 'Kumar Gaurav']",2023,10.1007/s10668-022-02260-3
64,Climate Dynamics,Climate Dynamics,"['C. T. Sabeerali', 'R. S. Ajayamohan', 'V. Praveen']",2022,10.1007/s00382-021-05996-2
65,International Journal of Climatology,International Journal of Climatology,"['Mohammed Magdy Hamed', 'Mohamed Salem Nashwan', 'Shamsuddin Shahid']",2022,10.1002/joc.7468
66,Theoretical and Applied Climatology,Theoretical and Applied Climatology,"['A. S. M. Maksud Kamal', 'Farhad Hossain', 'Shamsuddin Shahid']",2021,10.1007/s00704-021-03735-5
67,Urban Climate,Urban Climate,"['Chandra Rupa Rajulapati', 'Rohan Kumar Gaddam', 'Sofia D. Nerantzaki', 'Simon Michael Papalexiou', 'Alex J. Cannon', 'Martyn P. Clark']",2022,10.1016/j.uclim.2022.101097
68,npj Climate and Atmospheric Science,npj Climate and Atmospheric Science,"['Weili Duan', 'Shan Zou', 'Nikolaos Christidis', 'Nathalie Schaller', 'Yaning Chen', 'Netrananda Sahu', 'Zhi Li', 'Gonghuan Fang', 'Botao Zhou']",2022,10.1038/s41612-022-00255-5
69,Environmental Research Letters,Environmental Research Letters,"['Xuewei Fan', 'Qingyun Duan', 'Chenwei Shen', 'Yi Wu', 'Chang Xing']",2020,10.1088/1748-9326/abb051
70,Atmospheric Research,Atmospheric Research,"['Guodong Wang', 'Yongli He', 'Boyuan Zhang', 'Xiaoxia Wang', 'Shanjun Cheng', 'Yongkun Xie', 'Shanshan Wang', 'Xiaodan Guan']",2023,10.1016/j.atmosres.2022.106494
71,Communications Earth & Environment,Communications Earth & Environment,"['Michael S. Diamond', 'Jake J. Gristey', 'Jennifer E. Kay', 'Graham Feingold']",2022,10.1038/s43247-022-00546-y
72,Atmospheric Research,Atmospheric Research,"['Kaiqiang Deng', 'Cesar Azorin-Molina', 'Song Yang', 'Chundi Hu', 'Gangfeng Zhang', 'Lorenzo Minola', 'Deliang Chen']",2022,10.1016/j.atmosres.2022.106040
73,Conservation Science and Practice,Conservation Science and Practice,"['Valeria Y. Mendez Angarita', 'Luigi Maiorano', 'Chiara Dragonetti', 'Moreno Di Marco']",2023,10.1111/csp2.12889
74,International Journal of Energy Research,International Journal of Energy Research,"['Heng Qian', 'Ren Zhang']",2021,10.1002/er.5997
75,"Resources, Conservation and Recycling","Resources, Conservation and Recycling","['Wenjuan Hou', 'Xueliang Zhang', 'Haoyu Deng', 'Xin Zhang', 'Maowei Wu', 'Tianling Qin', 'Xiaojie Li', 'Denghua Yan', 'Bingxing Yi', 'Wanquan Ta', 'Shaohong Wu', 'Xiaopeng Jia', 'Linsheng Yang']",2023,10.1016/j.resconrec.2023.106939
76,Weather and Climate Extremes,Weather and Climate Extremes,"['Alexandre Tuel', 'Olivia Martius']",2021,10.1016/j.wace.2021.100348
77,Environmental Research Letters,Environmental Research Letters,"['Anna M Brockway', 'Liyang Wang', 'Laurel N Dunn', 'Duncan Callaway', 'Andrew Jones']",2022,10.1088/1748-9326/ac7815
78,Science Bulletin,Science Bulletin,"['Yan Xia', 'Yongyun Hu', 'Jiping Liu']",2020,10.1016/j.scib.2020.06.011
79,Advances in Atmospheric Sciences,Advances in Atmospheric Sciences,"['Ruth Geen', 'Marianne Pietschnig', 'Shubhi Agrawal', 'Dipanjan Dey', 'F. Hugo Lambert', 'Geoffrey K. Vallis']",2023,10.1007/s00376-023-2297-1
80,Atmospheric Research,Atmospheric Research,"['Jianqing Zhai', 'Sanjit Kumar Mondal', 'Thomas Fischer', 'Yanjun Wang', 'Buda Su', 'Jinlong Huang', 'Hui Tao', 'Guojie Wang', 'Waheed Ullah', 'Md. Jalal Uddin']",2020,10.1016/j.atmosres.2020.105111
81,Frontiers in Climate,Frontiers in Climate,['Peter Köhler'],2020,10.3389/fclim.2020.575744
82,International Journal of Climatology,International Journal of Climatology,"['Luc Yannick Andréas Randriamarolaza', 'Enric Aguilar', 'Oleg Skrynyk']",2023,10.1002/joc.8065
83,Elem Sci Anth,Elem Sci Anth,"['Xiaorui Zhang', 'Xiang Xiao', 'Fan Wang', 'Yang Yang', 'Hong Liao', 'Shixin Wang', 'Meng Gao']",2023,10.1525/elementa.2022.00149
84,Tellus A: Dynamic Meteorology and Oceanography,Tellus A: Dynamic Meteorology and Oceanography,"['Kshitija Suryawanshi', 'B. Jena', 'C. C. Bajish', 'N. Anilkumar']",2023,10.16993/tellusa.3222
