,journal_title,article_title,contributors,year,doi
85,Quaternary Science Reviews,Quaternary Science Reviews,"['L. Bazin', 'B. Lemieux-Dudon', 'G. Siani', 'A. Govin', 'A. Landais', 'D. Genty', 'E. Michel', 'S. Nomade']",2019,10.1016/j.quascirev.2019.05.018
86,Journal of Advances in Modeling Earth Systems,Journal of Advances in Modeling Earth Systems,"['Ran Feng', 'Bette L. Otto‐Bliesner', 'Esther C. Brady', 'Nan Rosenbloom']",2020,10.1029/2019MS002033
87,Climate of the Past,Climate of the Past,"['Wing-Le Chan', 'Ayako Abe-Ouchi']",2020,10.5194/cp-16-1523-2020
88,Climate of the Past,Climate of the Past,"['Gabriele Messori', 'Davide Faranda']",2021,10.5194/cp-17-545-2021
89,WIREs Climate Change,WIREs Climate Change,"['Christoph C. Raible', 'Joaquim G. Pinto', 'Patrick Ludwig', 'Martina Messmer']",2021,10.1002/wcc.680
90,Climate Dynamics,Climate Dynamics,"['Minoru Chikira', 'Yohei Yamada', 'Ayako Abe-Ouchi', 'Masaki Satoh']",2022,10.1007/s00382-021-06056-5
91,Climate of the Past,Climate of the Past,"['James D. Annan', 'Julia C. Hargreaves', 'Thorsten Mauritsen']",2022,10.5194/cp-18-1883-2022
92,Past Antarctic ice sheet dynamics (PAIS) and implications for future sea-level change,Antarctic Climate Evolution,"['Florence Colleoni', 'Laura De Santis', 'Tim R. Naish', 'Robert M. DeConto', 'Carlota Escutia', 'Paolo Stocchi', 'Gabriele Uenzelmann-Neben', 'Katharina Hochmuth', 'Claus-Dieter Hillenbrand', 'Tina van de Flierdt', 'Lara F. Pérez', 'German Leitchenkov', 'Francesca Sangiorgi', 'Stewart Jamieson', 'Michael J. Bentley', 'David J. Wilson']",2022,10.1016/B978-0-12-819109-5.00010-4
93,Climate of the Past,Climate of the Past,"['Masa Kageyama', 'Sandy P. Harrison', 'Marie-L. Kapsch', 'Marcus Lofverstrom', 'Juan M. Lora', 'Uwe Mikolajewicz', 'Sam Sherriff-Tadano', 'Tristan Vadsaria', 'Ayako Abe-Ouchi', 'Nathaelle Bouttes', 'Deepak Chandan', 'Lauren J. Gregoire', 'Ruza F. Ivanovic', 'Kenji Izumi', 'Allegra N. LeGrande', 'Fanny Lhardy', 'Gerrit Lohmann', 'Polina A. Morozova', 'Rumi Ohgaito', 'André Paul', 'W. Richard Peltier', 'Christopher J. Poulsen', 'Aurélien Quiquet', 'Didier M. Roche', 'Xiaoxu Shi', 'Jessica E. Tierney', 'Paul J. Valdes', 'Evgeny Volodin', 'Jiang Zhu']",2021,10.5194/cp-17-1065-2021
94,The Glacial Waterscape: Glaciers and Their Unique Geomorphological Connection to Society,Treatise on Geomorphology,"['Bryan G. Mark', 'Alfonso Fernández']",2022,10.1016/B978-0-12-818234-5.00125-5
95,Climate of the Past,Climate of the Past,"['Irene Malmierca-Vallet', 'Louise C. Sime']",2023,10.5194/cp-19-915-2023
96,Earth's Future,Earth's Future,"['D. Stammer', 'A. Bracco', 'P. Braconnot', 'G. P. Brasseur', 'S. M. Griffies', 'E. Hawkins']",2018,10.1029/2018EF000979
97,Paleoceanography and Paleoclimatology,Paleoceanography and Paleoclimatology,"['Bette L. Otto‐Bliesner', 'Esther C. Brady', 'Robert A. Tomas', 'Samuel Albani', 'Patrick J. Bartlein', 'Natalie M. Mahowald', 'Sarah L. Shafer', 'Erik Kluzek', 'Peter J. Lawrence', 'Gunter Leguy', 'Mathew Rothstein', 'Aleah N. Sommers']",2020,10.1029/2020PA003957
98,Journal of Advances in Modeling Earth Systems,Journal of Advances in Modeling Earth Systems,"['Thibaut Lurton', 'Yves Balkanski', 'Vladislav Bastrikov', 'Slimane Bekki', 'Laurent Bopp', 'Pascale Braconnot', 'Patrick Brockmann', 'Patricia Cadule', 'Camille Contoux', 'Anne Cozic', 'David Cugnet', 'Jean‐Louis Dufresne', 'Christian Éthé', 'Marie‐Alice Foujols', 'Josefine Ghattas', 'Didier Hauglustaine', 'Rong‐Ming Hu', 'Masa Kageyama', 'Myriam Khodri', 'Nicolas Lebas', 'Guillaume Levavasseur', 'Marion Marchand', 'Catherine Ottlé', 'Philippe Peylin', 'Adriana Sima', 'Sophie Szopa', 'Rémi Thiéblemont', 'Nicolas Vuichard', 'Olivier Boucher']",2020,10.1029/2019MS001940
99,Climate Dynamics,Climate Dynamics,"['Tianyun Dong', 'Wenjie Dong', 'Taichen Feng', 'Xian Zhu']",2021,10.1007/s00382-020-05461-6
100,Molecular Ecology Resources,Molecular Ecology Resources,"['Satoshi Aoki', 'Motomi Ito']",2020,10.1111/1755-0998.13179
101,Earth System Science Data,Earth System Science Data,"['Lukas Jonkers', 'Olivier Cartapanis', 'Michael Langner', 'Nick McKay', 'Stefan Mulitza', 'Anne Strack', 'Michal Kucera']",2020,10.5194/essd-12-1053-2020
102,Climate of the Past,Climate of the Past,"['Marcus Breil', 'Emanuel Christner', 'Alexandre Cauquoin', 'Martin Werner', 'Melanie Karremann', 'Gerd Schädler']",2021,10.5194/cp-17-1685-2021
103,Journal of Advances in Modeling Earth Systems,Journal of Advances in Modeling Earth Systems,"['Roland Séférian', 'Pierre Nabat', 'Martine Michou', 'David Saint‐Martin', 'Aurore Voldoire', 'Jeanne Colin', 'Bertrand Decharme', 'Christine Delire', 'Sarah Berthet', 'Matthieu Chevallier', 'Stephane Sénési', 'Laurent Franchisteguy', 'Jessica Vial', 'Marc Mallet', 'Emilie Joetzjer', 'Olivier Geoffroy', 'Jean‐François Guérémy', 'Marie‐Pierre Moine', 'Rym Msadek', 'Aurélien Ribes', 'Matthias Rocher', 'Romain Roehrig', 'David Salas‐y‐Mélia', 'Emilia Sanchez', 'Laurent Terray', 'Sophie Valcke', 'Robin Waldman', 'Olivier Aumont', 'Laurent Bopp', 'Julie Deshayes', 'Christian Éthé', 'Gurvan Madec']",2019,10.1029/2019MS001791
104,Climate of the Past,Climate of the Past,"['Joaquim G. Pinto', 'Patrick Ludwig']",2020,10.5194/cp-16-611-2020
105,Quaternary Science Reviews,Quaternary Science Reviews,"['Gustav Strandberg', 'Johan Lindström', 'Anneli Poska', 'Qiong Zhang', 'Ralph Fyfe', 'Esther Githumbi', 'Erik Kjellström', 'Florenze Mazier', 'Anne Birgitte Nielsen', 'Shinya Sugita', 'Anna-Kari Trondman', 'Jessie Woodbridge', 'Marie-José Gaillard']",2022,10.1016/j.quascirev.2022.107431
106,Climate of the Past,Climate of the Past,"['Zhiyi Jiang', 'Chris Brierley', 'David Thornalley', 'Sophie Sax']",2023,10.5194/cp-19-107-2023
107,Geoscientific Model Development,Geoscientific Model Development,"['Zhiping Tian', 'Dabang Jiang', 'Ran Zhang', 'Baohuang Su']",2022,10.5194/gmd-15-4469-2022
108,Climate Dynamics,Climate Dynamics,"['Kenji Izumi', 'Paul Valdes', 'Ruza Ivanovic', 'Lauren Gregoire']",2023,10.1007/s00382-022-06456-1
109,Geoscientific Model Development,Geoscientific Model Development,['Emerson D. Oliveira'],2023,10.5194/gmd-16-2371-2023
110,Journal of Advances in Modeling Earth Systems,Journal of Advances in Modeling Earth Systems,"['Natalie Burls', 'Navjit Sagoo']",2022,10.1029/2022MS003389
111,Quaternary Science Reviews,Quaternary Science Reviews,"['Matthew D. Jones', 'Sylvia G. Dee']",2018,10.1016/j.quascirev.2018.09.009
112,Journal of Climate,Journal of Climate,"['Samuel Albani', 'Natalie M. Mahowald']",2019,10.1175/JCLI-D-18-0742.1
113,Climate of the Past,Climate of the Past,"['Josephine R. Brown', 'Chris M. Brierley', 'Soon-Il An', 'Maria-Vittoria Guarino', 'Samantha Stevenson', 'Charles J. R. Williams', 'Qiong Zhang', 'Anni Zhao', 'Ayako Abe-Ouchi', 'Pascale Braconnot', 'Esther C. Brady', 'Deepak Chandan', ""Roberta D'Agostino"", 'Chuncheng Guo', 'Allegra N. LeGrande', 'Gerrit Lohmann', 'Polina A. Morozova', 'Rumi Ohgaito', ""Ryouta O'ishi"", 'Bette L. Otto-Bliesner', 'W. Richard Peltier', 'Xiaoxu Shi', 'Louise Sime', 'Evgeny M. Volodin', 'Zhongshi Zhang', 'Weipeng Zheng']",2020,10.5194/cp-16-1777-2020
114,Climate and the Evolution of the Ocean: The Paleoceanographic Data,Paleoclimatology,"['Thibaut Caley', 'Natalia Vázquez Riveiros', 'Laurent Labeyrie', 'Elsa Cortijo', 'Jean-Claude Duplessy']",2021,10.1007/978-3-030-24982-3_21
115,Earth System Science Data,Earth System Science Data,"['Anne L. Morée', 'Jörg Schwinger']",2020,10.5194/essd-12-2971-2020
116,Climate of the Past,Climate of the Past,"['Janica C. Bühler', 'Josefine Axelsson', 'Franziska A. Lechleitner', 'Jens Fohlmeister', 'Allegra N. LeGrande', 'Madhavan Midhun', 'Jesper Sjolte', 'Martin Werner', 'Kei Yoshimura', 'Kira Rehfeld']",2022,10.5194/cp-18-1625-2022
117,Forests,Forests,"['Irina P. Panyushkina', 'Steven W. Leavitt', 'David M. Meko', 'Bryan A. Black', 'A. J. Timothy Jull', 'Peter Van de Water', 'Joe Squire', 'Nicholas R. Testa']",2022,10.3390/f13122161
118,Climate of the Past,Climate of the Past,"['Léa Terray', 'Emmanuelle Stoetzel', 'Eslem Ben Arous', 'Masa Kageyama', 'Raphaël Cornette', 'Pascale Braconnot']",2023,10.5194/cp-19-1245-2023
